Column1;Column2;Column3
Вопрос;Ответ;Способ
Тестовый вопрос;Тестовый ответ;Онлайн
Тестовый вопрос;Тестовый ответ;МФЦ
Аккредитация региональных спортивных федераций Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;Онлайн
Аккредитация региональных спортивных федераций Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;МФЦ
Аккредитация региональных спортивных федераций Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;Офлайн
Аккредитация экскурсоводов и гидов-переводчиков Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;Онлайн
Аккредитация экскурсоводов и гидов-переводчиков Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;МФЦ
Аккредитация экскурсоводов и гидов-переводчиков Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;"""; копия решения о назначении или об избрании либо приказа о назначении физического лица на должность, в соответствии с которым такое физическое лицо обладает правом действовать от имени заявителя без доверенности. Жалоба может быть направлена заявителем: При личном приеме заявителя в письменной форме на бумажном носителе в Комитет. В случае подачи жалобы при личном приеме заявитель представляет документ, удостоверяющий его личность в соответствии с законодательством Российской Федерации. Время приема жалоб должно совпадать со временем предоставления государственных услуг.Жалоба в письменной форме может быть также направлена по почте. В электронной форме с использованием сети Интернет, официального сайта Комитета, предоставляющего государственную услугу. При подаче жалобы в электронной форме необходимые документы, могут быть представлены в форме электронных документов, подписанных электронной подписью, вид которой предусмотрен законодательством Российской Федерации, при этом документ, удостоверяющий личность заявителя, не требуется. Жалоба на действия (бездействие) и решения председателя Комитета, осуществляемые (принятые) в рамках предоставлен";Офлайн
Аттестация педагогических работников образовательных организаций, находящихся в ведении Комитета по образованию, а также частных образовательных организаций Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;Онлайн
Аттестация педагогических работников образовательных организаций, находящихся в ведении Комитета по образованию, а также частных образовательных организаций Электронный способ получения услуги Получения услуги через МФЦ Традиционный способ получения услуги;;МФЦ
